GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.image,ImageFileCompareResult,5,241,4,8,1,65,4,6,0,4
Compare Files,me.suwash.tools.comparefiles.sv.domain.sort,FileSortResult.FileSortInput,0,45,0,0,0,8,0,13,0,13
Compare Files,me.suwash.tools.comparefiles.sv.domain.sort,FileSortResult,93,906,18,80,17,231,16,49,0,16
Compare Files,me.suwash.tools.comparefiles.sv.domain.sort,SortableRow,6,17,1,3,1,6,1,3,0,2
Compare Files,me.suwash.tools.comparefiles.sv.domain.sort,FileSortResult.MergePhaseStatus,9,39,0,0,0,4,2,2,2,2
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare,BaseCompareInput,0,17,0,0,0,4,0,5,0,5
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare,BaseCompareResult,0,9,0,0,0,3,0,2,0,2
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,FileCompareResultWriter.FileCompareResultOutput,0,113,2,4,0,27,2,5,0,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,TextFileRowCompareResultWriter,73,84,3,3,7,23,2,4,0,3
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,FileCompareResultWriter,43,70,1,1,5,25,1,3,0,3
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,BaseResultWriter,42,53,6,4,7,18,5,4,0,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,TextFileRowCompareResultWriter.TextFileCompareResultOutput,15,245,2,23,4,52,3,15,1,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.writer.impl,TextFileRowCompareResultWriter.new Object() {...},5,35,0,0,0,1,0,1,0,1
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,FileNameRegexCompareResult.FileNameRegexCompareInput,0,10,0,0,0,3,0,3,0,3
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,BaseBulkCompareResult.new Object() {...},5,35,0,0,0,1,0,1,0,1
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,FileNameRegexCompareResult.new Object() {...},2,17,0,0,0,1,0,1,0,1
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,BaseBulkCompareResult,41,97,10,6,9,27,8,15,2,11
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,FileNameRegexCompareResult,114,358,10,32,22,95,9,20,1,7
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,DirCompareResult.DirCompareInput,0,17,0,0,0,4,0,5,0,5
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.bulk,DirCompareResult,79,340,8,24,16,80,8,15,1,6
Compare Files,me.suwash.tools.comparefiles.ap,FileRegexCompareFacade,0,33,0,0,0,13,0,4,0,4
Compare Files,me.suwash.tools.comparefiles.ap,FileCompareFacade,0,39,0,0,0,12,0,4,0,4
Compare Files,me.suwash.tools.comparefiles.ap,BaseFacade,61,62,6,4,5,16,5,3,0,3
Compare Files,me.suwash.tools.comparefiles.ap,DirCompareFacade,0,35,0,0,0,14,0,4,0,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,JsonListRowReader,78,257,3,21,7,70,4,17,1,8
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,TextRowReader,55,58,0,2,5,16,1,4,1,3
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,JsonRowReader,41,56,0,4,3,17,1,4,1,2
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,CsvRowReader,174,313,25,29,35,72,20,16,1,8
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,BaseFlatRowReader,0,15,0,0,0,4,0,2,0,2
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,TsvRowReader,11,0,0,0,3,0,2,0,2,0
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,FixedRowReader,177,276,14,18,20,66,12,16,1,11
Compare Files,me.suwash.tools.comparefiles.sv.da.file.reader.impl,BaseRowReader,103,200,8,20,12,55,9,10,1,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,ImageFileRepository,69,80,5,5,10,25,6,6,1,6
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,FileCompareResultRepositoryImpl,19,51,0,0,3,13,1,5,1,5
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,TextFileRowCompareResultRepositoryImpl,19,75,0,0,3,18,1,5,1,5
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,TempSortedRowWriteRepository,0,13,0,0,0,5,0,2,0,2
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,GenericFileRepository,164,227,11,33,25,66,10,22,0,10
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,StringFileRepository,42,97,0,2,6,17,0,7,0,6
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,GenericRowWriteRepository,30,57,1,1,4,12,2,4,1,4
Compare Files,me.suwash.tools.comparefiles.sv.da.file.repository.impl,GenericRowReadRepository,39,165,3,15,5,31,4,12,1,6
Compare Files,me.suwash.tools.comparefiles.infra,Context,9,109,4,8,2,25,4,12,0,10
Compare Files,me.suwash.tools.comparefiles.infra.util,ValidateUtils,3,57,1,7,1,15,2,5,1,2
Compare Files,me.suwash.tools.comparefiles.sv.domain,BaseRow,27,152,17,15,0,8,14,15,0,13
Compare Files,me.suwash.tools.comparefiles.infra.config,ItemLayout,0,38,0,0,0,7,0,11,0,11
Compare Files,me.suwash.tools.comparefiles.infra.config,FileLayoutList,0,10,0,0,0,3,0,3,0,3
Compare Files,me.suwash.tools.comparefiles.infra.config,RecordLayout,4,141,1,17,1,31,2,19,1,11
Compare Files,me.suwash.tools.comparefiles.infra.config,CompareFilesConfig,8,733,24,26,0,123,22,53,0,50
Compare Files,me.suwash.tools.comparefiles.infra.config,CompareRegexTargetList,0,206,3,15,0,31,3,11,0,5
Compare Files,me.suwash.tools.comparefiles.infra.config,CompareRegexTarget,0,90,0,6,0,19,0,8,0,5
Compare Files,me.suwash.tools.comparefiles.infra.config,FileLayout,4,173,6,18,0,38,7,24,1,18
Compare Files,me.suwash.tools.comparefiles.infra.config,FileLayoutManager,75,322,7,31,12,69,7,23,1,10
Compare Files,me.suwash.tools.comparefiles.main,CompareFilesOption,0,227,3,35,0,70,3,36,0,20
Compare Files,me.suwash.tools.comparefiles.main,BaseCompareFiles.new Object() {...},26,0,0,0,1,0,1,0,1,0
Compare Files,me.suwash.tools.comparefiles.main,BaseCompareFiles.new Thread() {...},3,12,1,1,1,4,1,2,0,2
Compare Files,me.suwash.tools.comparefiles.main,CompareFiles,11,165,1,5,4,44,2,8,1,6
Compare Files,me.suwash.tools.comparefiles.main,CompareFileRegex,11,81,1,3,4,22,2,5,1,4
Compare Files,me.suwash.tools.comparefiles.main,BaseCompareFiles,44,67,7,4,11,19,6,4,1,3
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file,FileCompareResult.FileCompareInput,0,24,0,0,0,5,0,7,0,7
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file,BaseFileCompareResult,26,60,4,4,4,17,4,13,0,13
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file,FileCompareResult,109,497,14,32,20,114,13,21,0,11
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,ComparableRow,5,128,2,14,2,31,2,11,0,5
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileCompareResult,162,525,18,34,30,129,15,24,0,10
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileRowCompareResult,103,474,27,55,20,118,25,33,0,17
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileCompareResult.new Object() {...},6,41,0,0,0,1,0,1,0,1
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileItemCompareResult,3,56,0,0,1,16,1,8,1,8
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileCompareResult.SortTask,0,60,0,0,0,13,0,3,0,3
Compare Files,me.suwash.tools.comparefiles.sv.domain.compare.file.text,TextFileRowCompareResult.new Object() {...},4,29,0,0,0,1,0,1,0,1
