"Status","RowNum","DiffItems","Header.RECORD_TYPE","Header.DATA_COUNT","Data.RECORD_TYPE","Data.KEY1","Data.KEY2","Data.AMOUNT","Trailer.RECORD_TYPE","Trailer.SUM_AMOUNT","Trailer.AVE_AMOUNT","Trailer.MIN_AMOUNT","Trailer.MAX_AMOUNT","End.RECORD_TYPE","End.STATUS"
"OK","期待値:1
実績値:1","-","0","9",,,,,,,,,,,
"NG","期待値:2
実績値:2","[AMOUNT]",,,"1","100","AAA","期待値:1100
実績値:1200",,,,,,,
"OK","期待値:3
実績値:3","-",,,"1","100","BBB","1000",,,,,,,
"OK","期待値:4
実績値:4","-",,,"1","100","CCC","1000",,,,,,,
"OK","期待値:5
実績値:5","-",,,"1","200","AAA","1000",,,,,,,
"OK","期待値:6
実績値:6","-",,,"1","200","BBB","1000",,,,,,,
"OK","期待値:7
実績値:7","-",,,"1","200","CCC","1000",,,,,,,
"OK","期待値:8
実績値:8","-",,,"1","300","AAA","1000",,,,,,,
"OK","期待値:9
実績値:9","-",,,"1","300","BBB","1000",,,,,,,
"NG","期待値:10
実績値:10","[AMOUNT]",,,"1","300","CCC","期待値:900
実績値:800",,,,,,,
"NG","期待値:11
実績値:11","[MIN_AMOUNT, MAX_AMOUNT]",,,,,,,"2","9000","1000","期待値:900
実績値:800","期待値:1100
実績値:1200",,
"OK","期待値:12
実績値:12","-",,,,,,,,,,,,"9","0"
